UE_f,UX_f,BSAT_f,BSUC_f
0.9597,0.0941,0.6092,0.1331
0.0765,0.0765,0.677,0.9634
0.9059,0.6761,0.2206,0.0644
0.6636,0.901,0.738,0.4335
0.501,0.6203,0.8358,0.1331
0.1404,0.3886,0.9433,0.7873
0.3886,0.8478,0.7911,0.2553
0.0941,0.1152,0.2206,0.9081
0.2437,0.6203,0.2726,0.932
0.2878,0.17,0.0844,0.8769
0.7956,0.7733,0.8358,0.9734
0.9381,0.501,0.9252,0.2553
0.83,0.9688,0.1391,0.0825
0.0765,0.17,0.7911,0.1331
0.0619,0.7733,0.1391,0.0825
0.7122,0.937,0.9572,0.2553
0.3364,0.1404,0.3964,0.932
0.3886,0.0765,0.677,0.932
0.3886,0.561,0.8725,0.501
0.17,0.6203,0.2726,0.7873
0.9676,0.8769,0.05,0.658
0.0941,0.8478,0.7911,0.501
0.3364,0.9604,0.0292,0.1331
0.6636,0.3886,0.9572,0.7873
0.6114,0.6203,0.9252,0.932
0.0403,0.2878,0.7911,0.9634
0.6636,0.2437,0.9433,0.658
0.1152,0.8134,0.3964,0.3094
0.17,0.05,0.9433,0.2078
0.9059,0.05,0.465,0.1671
0.7122,0.9604,0.0292,0.0299
0.8596,0.937,0.6092,0.0644
0.9235,0.1152,0.677,0.8769
0.5564,0.2437,0.3316,0.1051
0.9381,0.8134,0.9252,0.9634
0.1152,0.6203,0.465,0.0825
0.1152,0.17,0.1088,0.4335
0.1152,0.17,0.9252,0.2078
0.0324,0.6203,0.3316,0.837
0.3886,0.0765,0.902,0.7274
0.1152,0.9688,0.7911,0.1051
0.6114,0.0765,0.7911,0.9081
0.7956,0.901,0.5369,0.1671
0.8848,0.937,0.3964,0.1331
0.05,0.9688,0.9678,0.3094
0.1152,0.561,0.677,0.05
0.9381,0.0941,0.5369,0.1331
0.9597,0.6203,0.0292,0.4335
0.0619,0.7274,0.05,0.4335
0.17,0.0765,0.1762,0.7274
0.0941,0.0403,0.1391,0.837
0.501,0.9208,0.0382,0.7873
0.17,0.8478,0.1762,0.1051
0.7956,0.2437,0.2726,0.05
0.9235,0.3886,0.05,0.7873
0.9597,0.8134,0.9252,0.1051
0.4436,0.7733,0.0844,0.1051
0.501,0.561,0.8358,0.501
0.6636,0.3886,0.9252,0.9634
0.7956,0.0765,0.1762,0.658
0.6636,0.561,0.9678,0.5811
0.4436,0.1152,0.2726,0.05
0.0403,0.2044,0.8725,0.501
0.8596,0.1404,0.465,0.1331
0.1404,0.937,0.9252,0.3094
0.6114,0.8478,0.465,0.1051
0.7122,0.901,0.6092,0.0387
0.0403,0.9208,0.5369,0.501
0.3364,0.3364,0.9678,0.501
0.0324,0.3886,0.2206,0.837
0.2044,0.4436,0.8358,0.1051
0.4436,0.0765,0.0651,0.2553
0.0941,0.8134,0.5369,0.95
0.83,0.0619,0.8725,0.5811
0.0765,0.7733,0.7911,0.7274
0.05,0.9208,0.3964,0.2078
0.3886,0.937,0.902,0.8769
0.9381,0.9688,0.902,0.7274
0.2044,0.3364,0.3316,0.5811
0.05,0.8478,0.9572,0.1051
0.83,0.8134,0.7911,0.2553
0.1404,0.1404,0.1088,0.2078
0.6114,0.7274,0.7911,0.1671
0.8848,0.0765,0.0844,0.932
0.0941,0.937,0.0382,0.1331
0.0765,0.0619,0.5369,0.1331
0.9381,0.561,0.2206,0.9634
0.9381,0.8134,0.677,0.932
0.9381,0.3364,0.738,0.837
0.8848,0.0403,0.5369,0.4335
0.1152,0.6203,0.3316,0.95
0.5564,0.6761,0.2206,0.0825
0.9381,0.6203,0.465,0.932
0.0324,0.937,0.9433,0.3094
0.9381,0.3364,0.677,0.1331
0.9059,0.4436,0.1391,0.95
0.05,0.6203,0.8358,0.3693
0.0324,0.2044,0.2206,0.3693
0.3364,0.3886,0.677,0.1671
0.7122,0.95,0.0844,0.658
0.7122,0.8478,0.1391,0.2078
0.3886,0.1152,0.0651,0.501
0.3364,0.901,0.6092,0.932
0.0765,0.3364,0.9572,0.4335
0.2878,0.0941,0.2206,0.5811
0.2437,0.17,0.9572,0.658
0.9381,0.1152,0.0651,0.837
0.501,0.0324,0.9433,0.8769
0.0765,0.561,0.9252,0.0825
0.1404,0.0403,0.1088,0.4335
0.501,0.6203,0.1088,0.95
0.7563,0.6203,0.1391,0.0387
0.7563,0.1152,0.1088,0.837
0.5564,0.2437,0.465,0.7873
0.0619,0.901,0.0382,0.9734
0.83,0.3364,0.738,0.2078
0.5564,0.95,0.8725,0.1331
0.4436,0.8478,0.1088,0.658
0.6636,0.6203,0.902,0.0299
0.1152,0.901,0.3964,0.8769
0.05,0.1152,0.6092,0.7274
0.6114,0.937,0.677,0.9634
0.9381,0.9208,0.05,0.1051
0.3886,0.0765,0.8725,0.1051
0.9059,0.1152,0.1391,0.5811
0.0324,0.9688,0.1762,0.7274
0.4436,0.8478,0.3316,0.95
0.0941,0.3364,0.9433,0.2553
0.17,0.0941,0.6092,0.0825
0.9381,0.7274,0.0292,0.7274
0.1152,0.901,0.738,0.4335
0.1152,0.2437,0.738,0.0299
0.3886,0.4436,0.1088,0.1671
0.3364,0.2878,0.902,0.95
0.7563,0.2878,0.2206,0.3094
0.9597,0.8478,0.05,0.658
0.83,0.9688,0.738,0.932
0.6114,0.0403,0.8725,0.501
0.501,0.3886,0.8358,0.837
0.6636,0.95,0.6092,0.9081
0.8848,0.3364,0.1391,0.8769
0.2437,0.901,0.8725,0.837
0.0941,0.9208,0.1391,0.9081
0.9235,0.2878,0.05,0.2078
0.0403,0.501,0.1391,0.501
0.0941,0.05,0.9678,0.2078
0.0765,0.901,0.0844,0.8769
0.05,0.561,0.3316,0.0299
0.9235,0.937,0.902,0.3693
0.4436,0.0765,0.1762,0.1331
0.95,0.8769,0.8725,0.837
0.501,0.2437,0.9433,0.2078
0.3886,0.0765,0.0844,0.3693
0.2437,0.937,0.2206,0.7274
0.7956,0.561,0.1088,0.3094
0.83,0.3364,0.2726,0.7873
0.0619,0.1404,0.902,0.7274
0.0941,0.8134,0.465,0.8769
0.6636,0.9754,0.8358,0.9081
0.501,0.0403,0.738,0.8769
0.8848,0.3364,0.05,0.05
0.9597,0.8134,0.738,0.1051
0.1152,0.05,0.1391,0.2078
0.0941,0.901,0.3964,0.2553
0.7563,0.0765,0.9572,0.9634
0.95,0.9208,0.0651,0.2078
0.0941,0.2878,0.0382,0.8769
0.501,0.9754,0.1391,0.1051
0.83,0.8134,0.0651,0.932
0.9597,0.0403,0.6092,0.0825
0.3364,0.6203,0.8725,0.501
0.9381,0.0765,0.0844,0.932
0.3364,0.1404,0.9252,0.837
0.3364,0.1404,0.465,0.837
0.5564,0.9604,0.1391,0.7274
0.0941,0.3364,0.902,0.7873
0.2044,0.95,0.465,0.3094
0.9059,0.6761,0.9572,0.501
0.6114,0.1404,0.6092,0.9081
0.6114,0.8478,0.738,0.7274
0.83,0.6761,0.1391,0.3693
0.9235,0.9208,0.2726,0.1331
0.3886,0.0403,0.1762,0.4335
0.05,0.9208,0.9252,0.0644
0.2878,0.4436,0.0651,0.7873
0.83,0.0765,0.0382,0.932
0.3886,0.8478,0.738,0.7274
0.9381,0.6761,0.738,0.7873
0.3886,0.4436,0.0844,0.9634
0.1404,0.901,0.738,0.95
0.0324,0.0941,0.0382,0.501
0.0765,0.6761,0.677,0.0299
0.501,0.1152,0.3964,0.5811
0.7563,0.3364,0.3964,0.0644
0.1152,0.8769,0.738,0.837
0.2044,0.8769,0.9252,0.658
0.501,0.0765,0.2206,0.7873
0.1404,0.2044,0.2206,0.3693
0.7563,0.1152,0.2206,0.3693
0.6636,0.1404,0.7911,0.05
0.0619,0.8769,0.9678,0.0299
0.8848,0.8769,0.8725,0.0387
0.1152,0.8134,0.0382,0.501
0.7956,0.6761,0.5369,0.9634
0.3364,0.3364,0.0651,0.7274
0.95,0.17,0.465,0.1051
0.0403,0.3886,0.738,0.3693
0.4436,0.6761,0.5369,0.7274
0.2878,0.2878,0.05,0.5811
0.0765,0.17,0.05,0.932
0.2044,0.0765,0.0651,0.7274
0.0941,0.0619,0.2206,0.658
0.95,0.0941,0.677,0.932
0.9235,0.9208,0.0844,0.95
0.0765,0.9208,0.05,0.4335
0.7956,0.2044,0.5369,0.2553
0.8848,0.3364,0.5369,0.9081
0.1404,0.6761,0.6092,0.3693
0.9597,0.7733,0.738,0.95
0.6114,0.7274,0.2726,0.05
0.3886,0.0941,0.9252,0.1051
0.501,0.1404,0.2206,0.9081
0.6636,0.0765,0.902,0.7873
0.9059,0.2044,0.0844,0.0825
0.95,0.501,0.9678,0.8769
0.7122,0.937,0.677,0.1331
0.2437,0.0403,0.677,0.0644
0.2878,0.3364,0.3316,0.2553
0.0619,0.3364,0.1391,0.0825
0.6114,0.0619,0.902,0.0387
0.0765,0.901,0.1391,0.1671
0.1152,0.6203,0.6092,0.1051
0.9059,0.3364,0.9433,0.9081
0.95,0.901,0.5369,0.1331
0.501,0.501,0.0651,0.7873
0.6114,0.2878,0.9433,0.8769
0.9597,0.2437,0.9252,0.9734
